,Stemmed_Comments,Fixed_Comments
2580,ngk mungkin belik la bro,ngk mungkin belik la bro
2581,kpan indonesia maju bangsatt mit en grit kamu semua pd salam soapers anjg mnding hapus tu cenel anjg,kpan indonesia maju bangsatt mit en grit kamu semua pd salam soapers anjg mnding hapus tu cenel anjg
2582,biar banyak haters tetap karya,biar banyak haters tetap karya
2583,pink guy channel unfaedah banyak subscriber nya padahal laku lebih gila erick,pink guy channel unfaedah banyak subscriber nya padahal laku lebih tidak waras erick
2584,y channel unfaedah banyak subscriber nya padahal laku lebih gila erick,y channel unfaedah banyak subscriber nya padahal laku lebih tidak waras erick
2585,chanel yg aku cinta sangat buat inspirasi orang jadi stres,chanel yg aku cinta sangat buat inspirasi orang jadi stres
2586,bangsat kau,tidak bermoral kau
2587,kok qorygore,kok qorygore
2588,baca komen haters pacar kamu dong,baca komen haters pacar kamu dong
2589,gwe suka banget konten didik begini,gwe suka banget konten didik begini
2590,e suka banget konten didik begini,e suka banget konten didik begini
2591,jangan mudah serah bang,jangan mudah serah bang
2592,iklan menit di skip,iklan menit di skip
2593,wkwkekw ekspresilu,wkwkekw ekspresilu
2594,tertawa suuu akwaokaokwok,tertawa suuu akwaokaokwok
2595,dagel,dagel
2596,tertawa saat bilang memek ngilu,tertawa saat bilang alat kelamin wanita ngilu
2597,matap bang,matap bang
2598,padang dong bang,padang dong bang
2599,apasiii sampah,apasiii limbah
2600,aku always support kamu bang,aku always support kamu bang
2601,padahal channel hilang stress saat tugas kuliah serang erik sering bilang kalau chenel bukan buat orang baperan chenel juga didik,padahal channel hilang stress saat tugas kuliah serang erik sering bilang kalau chenel bukan buat orang baperan chenel juga didik
2602,ngomong aja dapet duit wkkw,ngomong aja dapet duit wkkw
2603,memek orang komen hate mereka pgn msk vidio kamu goblok,alat kelamin wanita orang komen hate mereka pgn msk vidio kamu tidak pengertian
2604,wkwkwkwk chanel ni buat aku ketawa sendiri o kamu goblok,wkwkwkwk chanel ni buat aku ketawa sendiri o kamu tidak pengertian
2605,komenan aku yg coliin foto betmen knp di bikin konten anjing anak haram,komenan aku yg coliin foto betmen knp di bikin konten hewan ternak anak haram
2606,jujur yaa se toxsic nya eric aku suka dy dia pura pura baik camera bahkan dunia peryoutubean semangattttt eric,jujur yaa se toxsic nya eric aku suka dy dia pura pura baik camera bahkan dunia peryoutubean semangattttt eric
2607,memek ngilu wkwkw,alat kelamin wanita ngilu wkwkw
2608,kontol apa tidak telor,alat kelamin pria apa tidak telor
2609,intro nya foto launtius rando,intro nya foto launtius rando
2610,wik wik wik wik,wik wik wik wik
2611,sial rip headset,sial rip headset
2612,langsung pintar main mini world,langsung pintar main mini world
