,Stemmed_Comments,Fixed_Comments
6776,tertawa aja percuma kamu komen jelek in ngebacotin erick wkwkw bego,tertawa aja percuma kamu komen jelek in ngebacotin erick wkwkw tidak pintar
6777,kamu jadi presiden rik,kamu jadi presiden rik
6778,nonton tinggal nonton aja ribet cuk,nonton tinggal nonton aja ribet cuk
6779,asin asin keremes coy,asin asin keremes coy
6780,aku dukung kamu rick,aku dukung kamu rick
6781,benci buat ericko lim jadi kaya tuju like,benci buat ericko lim jadi kaya tuju like
6782,woy kontol jt subscribe g challenge makan roti isi tai rick botak,woy alat kelamin pria jt subscribe g challenge makan roti isi kotoran rick botak
6783,plis lah buat semua ngebully soapking emng hidup kamu udah bener semua apa sok sok komen buat ngerubah laku orang jadi baik urus tu hidup kamu sendiri emng udah baik oiya yang bilang chanel mutu faedah kamu punya hak gt kalau udah tau mutu faedah jangan tonton anjing goblok banget jadi haters,plis lah buat semua ngebully soapking emng hidup kamu udah bener semua apa sok sok komen buat ngerubah laku orang jadi baik urus tu hidup kamu sendiri emng udah baik oiya yang bilang chanel mutu faedah kamu punya hak gt kalau udah tau mutu faedah jangan tonton hewan ternak tidak pengertian banget jadi haters
6784,banyak iklan kntol,banyak iklan kntol
6785,janji like coment,janji like coment
6786,akhir intro balik haha,akhir intro balik haha
6787,sama orang indonesia ngbully parah terus bwa bwa agama lebih parahemua apa sok sok komen buat ngerubah laku orang jadi baik urus tu hidup kamu sendiri emng udah baik oiya yang bilang chanel mutu faedah kamu punya hak gt kalau udah tau mutu faedah jangan tonton anjing goblok banget jadi haters,sama orang indonesia ngbully parah terus bwa bwa agama lebih parahemua apa sok sok komen buat ngerubah laku orang jadi baik urus tu hidup kamu sendiri emng udah baik oiya yang bilang chanel mutu faedah kamu punya hak gt kalau udah tau mutu faedah jangan tonton hewan ternak tidak pengertian banget jadi haters
6788,haters buat kamu gede kaya kontol,haters buat kamu gede kaya alat kelamin pria
6789,oke bang guru semangat aku mau jadi murid hehehe,oke bang guru semangat aku mau jadi murid hehehe
6790,gblok balik duo sabum ma abi gblok kasihan miskin tololl kasihan temen karir kamu dlu gblokkkk,gblok balik duo sabum ma abi gblok kasihan kurang kaya tololl kasihan temen karir kamu dlu gblokkkk
6791,tu aku subsciber,tu aku subsciber
6792,commentnya hate toxic toxic sahabat indonesia,commentnya hate toxic toxic sahabat indonesia
6793,janji kamu mana ajg kata jt subscribe mau botak,janji kamu mana ajg kata jt subscribe mau botak
6794,kata kata pribahasa yg bener,kata kata pribahasa yg bener
6795,konten nya makin lama makin jelek,konten nya makin lama makin jelek
6796,aku mah bukan haters kamu aku bocah kok,aku mah bukan haters kamu aku bocah kok
6797,kata botak,kata botak
6798,percuma kamu hujat erickolim erickolim malah tambah kaya anjgggg,percuma kamu hujat erickolim erickolim malah tambah kaya anjgggg
6799,hatters bisa ngebacott,hatters bisa ngebacott
6800,aku senang video kamu yg jijik,aku senang video kamu yg jijik
6801,stay soapers cinta kenang kamarmandi,stay soapers cinta kenang kamarmandi
6802,kenal cuman ngomong bangsat sama anjing,kenal cuman ngomong tidak bermoral sama hewan ternak
6803,bocah semua hate kamu,bocah semua hate kamu
6804,we kntl banyak iklan bangsat aget gua baik ama kamu jadi gua skip kntl,we kntl banyak iklan tidak bermoral aget gua baik ama kamu jadi gua skip kntl
6805,zeeb intro asu,zeeb intro asu
6806,haters ericko mah njing ntot,haters ericko mah njing ntot
6807,sabar la eric,sabar la eric
6808,bang masak masak dong,bang masak masak dong
6809,oke semua perhati jadi heaters gua dong biar gua cepet kaya,oke semua perhati jadi heaters gua dong biar gua cepet kaya
6810,mana janji rick kata mo botak,mana janji rick kata mo botak
6811,pagi mulai yg sehat sehat,pagi mulai yg sehat sehat
6812,aku g nyekip iklan menit,aku g nyekip iklan menit
6813,ntah napa aku baca komentar video kamu bikin aku tertawa btw punya haters kaya,ntah napa aku baca komentar video kamu bikin aku tertawa btw punya haters kaya
6814,intro nahan ngehe,intro nahan ngehe
6815,mana pacar kamu rik,mana pacar kamu rik
6816,suruh eric tutup chanel bodo sama aja nolak rejeki,suruh eric tutup chanel bodo sama aja nolak rejeki
6817,bang kalau berak bismillah dulu,bang kalau buang air besar bismillah dulu
6818,tertawa anjay,tertawa anjay
6819,setan,makhluk jahat
6820,tertawa njir guasmillah dulu,tertawa njir guasmillah dulu
6821,keren anjir semangat suhu,keren sialan semangat suhu
6822,ku modol,ku modol
6823,asu aku liat video iklan nya kondom njing kena marah emak aku dah,asu aku liat video iklan nya kondom njing kena marah emak aku dah
6824,erick old back,erick old back
6825,ada subscribe ada langgan,ada subscribe ada langgan
6826,nama aja heterrrss njink kalau jhattt bakal hdup kamu,nama aja heterrrss njink kalau jhattt bakal hdup kamu
6827,ahmad hambali kontol,ahmad hambali alat kelamin pria
6828,bacot kentot,banyak bicara kentot
6829,bacot kntol,banyak bicara kntol
6830,astaqfirullah tobat bro tobat sama manusia cipta buat baik bukan malah nge bully orang luu sadar bro di dunia ini tak yang sempurna jadi please stop nge hina erickolim pliss,astaqfirullah tobat bro tobat sama manusia cipta buat baik bukan malah nge bully orang luu sadar bro di dunia ini tak yang sempurna jadi please stop nge rendah erickolim pliss
6831,an dika btw poto aku tahun lalu,an dika btw poto aku tahun lalu
6832,kamu semua ngarti kagak aku diomongin sini njenk,kamu semua ngarti kagak aku diomongin sini njenk
6833,sengaja plesetin coba ngertiin lebih lagi,sengaja plesetin coba ngertiin lebih lagi
6834,kamu aja tulis benci kontol kamu,kamu aja tulis benci alat kelamin pria kamu
6835,selow anjing,selow hewan ternak
6836,anak kontol kuda ngemis like,anak alat kelamin pria kuda ngemis like
6837,heter,heter
6838,kamu ngemis jgb sini jalan aja njingg,kamu ngemis jgb sini jalan aja njingg
6839,benci,benci
6840,arifin gt hahha iya bnr,arifin gt hahha iya bnr
6841,abis bakal banyak komen toxic biar si erick baca komenya terus bikin ginian dan komentar masuk,abis bakal banyak komen toxic biar si erick baca komenya terus bikin ginian dan komentar masuk
6842,lim intro kok bukan kiamat,lim intro kok bukan kiamat
6843,plagiat erpan anjing,plagiat erpan hewan ternak
6844,haters fans yg tunda,haters fans yg tunda
6845,sabar aja,sabar aja
6846,draw my life rick yg lama gambar komputer gajelas kontol isi bucin doang,draw my life rick yg lama gambar komputer gajelas alat kelamin pria isi bucin doang
6847,hatersnya ericko goblok semua g ad yg pinter cuma ngetik keyboard doang kalau gitu napa punya hape kalau usernya aja bodoh g guna jadi faedah gitu kamu kontol tertawa sumpah aku dengerin ericko lim baca coment haters anjinkkkk,hatersnya ericko tidak pengertian semua g ad yg pinter cuma ngetik keyboard doang kalau gitu napa punya hape kalau usernya aja tidak pengertian g guna jadi faedah gitu kamu alat kelamin pria tertawa sumpah aku dengerin ericko lim baca coment haters anjinkkkk
6848,meski kamu kontol komentar mu bulli mulu kamu tetep ganteng kok aku ikut setia no dunia,meski kamu alat kelamin pria komentar mu bulli mulu kamu tetep ganteng kok aku ikut setia no dunia
6849,eh yg tuju haters ericko kontol anjing like,eh yg tuju haters ericko alat kelamin pria hewan ternak like
6850,bang open meet and greet alun alun kota serang donk,bang open meet and greet alun alun kota serang donk
6851,tonton kamu bocah semua ngentott gi mana mau tau mana yg slah mana yg benar,tonton kamu bocah semua ngentott gi mana mau tau mana yg slah mana yg benar
6852,bang main point blank,bang main point blank
6853,dah triggered wkwkwk aku tetep suka gaya kamu bg asik banget,dah triggered wkwkwk aku tetep suka gaya kamu bg asik banget
6854,nama hibur usah bawa hati netizen taik,nama hibur usah bawa hati netizen taik
6855,subscribe channel aku yg mau disubsback comment,subscribe channel aku yg mau disubsback comment
6856,yang ngebuat aku subscribe kamu rikk wkwkkw sarkas to dna i love that enar,yang ngebuat aku subscribe kamu rikk wkwkkw sarkas to dna i love that enar
6857,gua subscribe paksa k,gua subscribe paksa k
6858,pideo kamu mebosankan broo sekarang jingggg,pideo kamu mebosankan broo sekarang jingggg
6859,kalau suka gausa subscribe sama buly makin byk yg buly masin sukses anjing liat aja bowo udah jd entertain anjing ada tv mana anjing malesnya w buly orng kalau canda sama temen beda lg,kalau suka gausa subscribe sama buly makin byk yg buly masin sukses hewan ternak liat aja bowo udah jd entertain hewan ternak ada tv mana hewan ternak malesnya w buly orng kalau canda sama temen beda lg
6860,yang download vidio youjizz bz kalau komen,yang download vidio youjizz bz kalau komen
6861,anjir bang qory,sialan bang qory
6862,gua ma liat atta halilintar masuk rumah kamu banyak piala ama sertifikat cakep begitu siap anjing ada tv mana anjing malesnya w buly orng kalau canda sama temen beda lg,gua ma liat atta halilintar masuk rumah kamu banyak piala ama sertifikat cakep begitu siap hewan ternak ada tv mana hewan ternak malesnya w buly orng kalau canda sama temen beda lg
6863,sengaja gagua skip iklan biar kamu bayar haters pake duit bang,sengaja gagua skip iklan biar kamu bayar haters pake duit bang
6864,selalu suport aku bang,selalu suport aku bang
6865,keren bro,keren bro
6866,mantap bang wkwkwk,mantap bang wkwkwk
6867,eh anjingg iklan kamu banyak banget satt ada satu aku skip kntl,eh anjingg iklan kamu banyak banget satt ada satu aku skip kntl
6868,gua apa kamu anggap yang baik laku bang kamu hidup kntl hidup cuma bro di tv mana anjing malesnya w buly orng kalau canda sama temen beda lg,gua apa kamu anggap yang baik laku bang kamu hidup kntl hidup cuma bro di tv mana hewan ternak malesnya w buly orng kalau canda sama temen beda lg
6869,rick jt subscribe botak woy mana janji mu bapak,rick jt subscribe botak woy mana janji mu bapak
6870,ngakakub botak woy mana janji mu bapak,ngakakub botak woy mana janji mu bapak
6871,semangat awal nya jadi sedih akhir,semangat awal nya jadi sedih akhir
6872,lapor ric iklan aku skip kasih butuh uang kamu,lapor ric iklan aku skip kasih butuh uang kamu
6873,bilang unfaedah tonton sampe habis,bilang unfaedah tonton sampe habis
6874,ngata in erik kamu punya hati kamu kalau punya berat kamu bukan manusia bangsat,ngata in erik kamu punya hati kamu kalau punya berat kamu bukan manusia tidak bermoral
6875,wahh bener masa channel agama banyak haters auto neraka wkwkwk,wahh bener masa channel agama banyak haters auto neraka wkwkwk
6876,intro erico lim no limit pros kepake kirain buang,intro erico lim no limit pros kepake kirain buang
6877,sebut kalian subscribe erick subscribers berapa kalau aku pas todvlog pertama kali wkwmwk,sebut kalian subscribe erick subscribers berapa kalau aku pas todvlog pertama kali wkwmwk
6878,woy jangan sex anjing,woy jangan sex hewan ternak
6879,bener rik kamu kalau mau konten didik jangan sini sana pergi channel majelis lucu,bener rik kamu kalau mau konten didik jangan sini sana pergi channel majelis lucu
6880,tinggal bilang,tinggal bilang
6881,keren sekali sampe aku subscribe x anjg,keren sekali sampe aku subscribe x anjg
6882,woy ericko anjing kamu kapan mati nya gua tunggu tunggu mati mati anjing,woy ericko hewan ternak kamu kapan mati nya gua tunggu tunggu mati mati hewan ternak
6883,kamu udah gila erik mending kamu mati aja jangan hidup kamu mau kalau kamu hidup dibuli banyak haters terus mending kamu mati aja terus kamu ngasih aku chanel didik kamu,kamu udah tidak waras erik mending kamu mati aja jangan hidup kamu mau kalau kamu hidup dibuli banyak haters terus mending kamu mati aja terus kamu ngasih aku chanel didik kamu
6884,bikin cenel yg bener,bikin cenel yg bener
6885,tertawa ajg,tertawa ajg
6886,cenel ngak mutu,cenel ngak mutu
6887,video paling faedah ngasih tau kalau erick video nya nggk patut cpntoh kamu semua yg bego nyet,video paling faedah ngasih tau kalau erick video nya nggk patut cpntoh kamu semua yg tidak pintar nyet
6888,akhir opening lupa come back,akhir opening lupa come back
6889,intro terunfaedah,intro terunfaedah
6890,nunggu skinnyfabs komen sini,nunggu skinnyfabs komen sini
6891,anjing komen gua gaada bangsat gua unsubs kamu anjing,hewan ternak komen gua gaada tidak bermoral gua unsubs kamu hewan ternak
6892,njir intro nya si botak,njir intro nya si botak
6893,erick buy subscribe kontol,erick buy subscribe alat kelamin pria
6894,akhir taun jt kok malah mentok jt,akhir taun jt kok malah mentok jt
6895,semangat ericko lim,semangat ericko lim
6896,suka channelnya kamu subscribe sma tonton anjing munafik fuck,suka channelnya kamu subscribe sma tonton hewan ternak tidak jujur fuck
6897,nama youtuber toxic fansnya toxic lah sok sok ngehaters tetep liat video tolol banget,nama youtuber toxic fansnya toxic lah sok sok ngehaters tetep liat video tidak pengertian banget
6898,haters ppq,haters ppq
6899,sok punya benci kamu njing,sok punya benci kamu njing
6900,hy gaess,hy gaess
6901,noskipskip,noskipskip
6902,bilang beli subscribe mah punya otak rick,bilang beli subscribe mah punya otak rick
6903,bacod kontol haters kamu miskin,bacod alat kelamin pria haters kamu kurang kaya
6904,beri nama buat haters kamu dong rik tuju likeee,beri nama buat haters kamu dong rik tuju likeee
6905,kalau suka gausah tonton kon ng tuju likeee,kalau suka gausah tonton kon ng tuju likeee
6906,nge hate kok pake akun fake ea,nge hate kok pake akun fake ea
6907,wkwkwk ganteng,wkwkwk ganteng
6908,wkwk tertawa,wkwk tertawa
6909,orang iri komen begitu tidak buat konten sendiri,orang iri komen begitu tidak buat konten sendiri
6910,yg penting mah erickolim rasist agama,yg penting mah erickolim rasist agama
6911,ericko lim bukan kaleng kaleng gama,ericko lim bukan kaleng kaleng gama
6912,haters adsense youtube kamu rick,haters adsense youtube kamu rick
6913,haters emang jahat goblog,haters emang jahat goblog
6914,kamu ganteng anjing,kamu ganteng hewan ternak
6915,sok sok an ngatain ericko lim kamu sndiri punya otak cuman buat ngehina orang haters mikir napa goblok kamu udah baik apa sok an ngata in orang,sok sok an ngatain ericko lim kamu sndiri punya otak cuman buat ngehina orang haters mikir napa tidak pengertian kamu udah baik apa sok an ngata in orang
6916,respect,respect
6917,ngikutin filthyfrank dasar kamu tolol,ngikutin filthyfrank dasar kamu tidak pengertian
6918,taur ae karo arek bonekk anjink ngomong tokk,taur ae karo arek bonekk anjink ngomong tokk
6919,haters cinta topi v,haters cinta topi v
6920,ericmemek kontol baca kamu udah mabok hp masak kamu kaya orang gila ericko lim kamu usah ngeyutub aja deh stiap vidio aneh kaya setan,ericmemek alat kelamin pria baca kamu udah mabok hp masak kamu kaya orang tidak waras ericko lim kamu usah ngeyutub aja deh stiap vidio aneh kaya makhluk jahat
6921,anjay kamu lim,anjay kamu lim
6922,kalau jelek gausah tiru,kalau jelek gausah tiru
6923,wowkwowkek sapa ngedukung eh haters muka keg kontol aje tidak bisa ngaceng udah ngebacot pikir kontollu dlu goblok,wowkwowkek sapa ngedukung eh haters muka keg alat kelamin pria aje tidak bisa kontrtaksi intim udah ngebacot pikir kontollu dlu tidak pengertian
