likeCount,Comments,Author
1.0,sumpah ngakak  lanjutkan eric mantr v,Arya Pamungkas
0.0,gue dukung lo erikkontolim,Gile lu Anjay
0.0,saran w bahasa lo klo bisa di jaga karena bahasa lo ga mendidik bgt coba lo bikin conten yg positif tks,Ryan Frayogi
0.0,semangat terus bang lupain haters yg g guna anggep aja itu cuma angin lewat in conten yg positif tks,anak mama
0.0,njir ngukuk gw konten lu bang parah tapi gw paling terharu pas liat closing lu tdi kata nya itu loh   kehilangan temen wkwkwk fuck,Saputra Rizki
0.0,ok kak eriko makan jembut sekali lagi dong ,
,,
,,
0.0,ya gua harap si viewers lu bisa baca masukan dari gua si rik sebagai perwakilan mulut lu karna gua bagian dari subscriber lu ,
,,
,,
0.0,makan jemboet,yoke agustiranda
0.0,semua penampilan lo sifat lo yg skrg dan gaya lo yg sok semangat karena ada hatters gue tau lu cuman bangga dari adsense kan yg saya pikir apakah lu itu lemah uang segitu bisa buat lu kaya gini udah macam bukan manusia mungkin tapi ,
,,
0.0,ericko kontol lim,BAKSO BORAX
0.0,lanjut terus rick sifat lo yg skrg dan gaya lo yg sok semangat karena ada hatters gue tau lu cuman bangga dari adsense kan yg saya pikir apakah lu itu lemah uang segitu bisa buat lu kaya gini udah macam bukan manusia mungkin tapi ,
,,
0.0,gua soapers,qaka qaswaini Rahaman Qaka Qaswaini rahman
0.0,channel nggak bermutu tp knp pd nntn anjing,Rizal Muliadi
0.0,gw terhibur tapi pas yang di atas ngomong kontol jembut bangsat dan yang lainnya gw agak jyjyk ea padahal gw juga sering sih ngomong kek gtu apa itu artinya gw anak kontol,WA CHenel NG
0.0,rik emang sih muka lu kaya kontol kelakuanlu kaya kampang tapi karna kekontolan lu dan kekapmpanganlu itu yg buat gw suka karna chanel lu beda dari yg lain,chool battle
0.0,haters uang,ruhul ghhn
0.0,lo kayak anjing bang ricooo biarin heters yang kayak lipetan kontol itu goblok wkwkw,Aldrin Drin
0.0,bilangin haters nya bang intinya gua dapet duit,gaspol
0.0,stju rik,
,,
,,
,,
,,
0.0,gw subscribe chanel lu x bang ,
,,
0.0,mantep bang hanya chanel elu yang mendidik hehe,BaGaS Ap
0.0,kalau ngak suka ,
,,
,,
,,
,,
0.0,saya suka ericko lim ,
,,
,,
,,
,,
,,
,,
,,
,,
0.0,udah deh youtubers udah susah ngedit bikin motifasi modal ngapain sih di susahin lagi di komentar mereka gunain kata bijak tapi mereka bodoh,Kambing Kok Gaming
0.0,cina nerd pake kacamata,Si Bull
0.0,rick duet sama eno bening dong ,
,,
,,
0.0,haters pembawa berkah cok hahahah,
,,
0.0,cenel ter aneh,Saputra Zed
1.0,erickolim toxic kayak anjeng auto unsubs aja babi yang setuju like,Vexeus GT
0.0,panutan ni mah,Indra Ramadhan711
0.0,emng gk pantes luuu buka project youtube rewind gk ad pntes nya,Rizki Juliansyah
0.0,mati aj lu bngsat yg subrcibe lu ya emng gblok smua pling gk ngrti agama smua chanel lu anjing,Rizki Juliansyah
0.0,mati aj lu bngsaat sesat chanel lu anjing,Rizki Juliansyah
0.0,gk ad bgus nya chanel lu bngsat plagiat dri reza arap reza arap ad bagusnya sosialnya bgus lu apaan bngsat chanel friendly dimna nya anjing dimna ad mnghbur nya bngsaat,Rizki Juliansyah
0.0,ini chanel hiburan bukan chanel pendidikan kalo lu suka tonton kalo ga suka jangan ditonton semudah itu aja masih pada kebanyakan bacot,ghu dhel
2.0,gw punya kapten dia bilang gua gak punya sayap tapi mirip malaikat sekarang dia sudah pergi ke hidupnya semoga kapten di sana bahagia dengan kehidupan barunya i love capt,JCREW Tv
0.0,love u bgst ,deklaudia geraldine
0.0,mending lo ngomong kotor kurangin deh ,
,,
0.0,gw subscribe buat ngebully lu rik hehehe gpp kan like,daniel faiz
1.0,serah dia lah mau buat vidio apa bego,Nathan Gaming
0.0,tolong kata kata kasar nya di sensor biar gal ada anak kecil yang liat saran aku,Fery Hobbies
0.0,lanjutin bro ,
,,
,,
,,
,,
,,
0.0,bug bug bug,Frq Faruq
